Ry/deg,方向,设定速度/mm/s,实际距离/mm,运动时间/s,全程平均速度/mm/s,稳态速度/mm/s,目标误差/mm,起点X/mm,起点Y/mm,起点Z/mm,终点X/mm,终点Y/mm,终点Z/mm
0,正向,10.0,99.999511,10.496687,9.526769,9.997747,0.001350,430.164124,-0.103000,664.354248,530.163635,-0.103000,664.354126
0,反向,10.0,99.998474,10.497286,9.526126,10.000534,0.002262,530.163635,-0.103000,664.354126,430.165161,-0.103000,664.357422
1,正向,10.0,99.999502,10.496715,9.526742,9.999936,0.003058,430.167358,-0.103000,664.359131,530.151672,-0.103000,662.616333
1,反向,10.0,99.996966,10.496735,9.526483,9.998868,0.003103,530.151672,-0.103000,662.616333,430.169952,-0.103000,664.362427
2,正向,10.0,100.000342,10.496688,9.526847,10.000326,0.004608,430.171722,-0.103000,664.363770,530.111267,-0.103000,660.877258
2,反向,10.0,99.996936,10.496994,9.526245,9.997408,0.003065,530.111267,-0.103000,660.877258,430.175354,-0.103000,664.370178
3,正向,10.0,100.000045,10.496688,9.526819,10.000446,0.003331,430.177368,-0.103000,664.371948,530.040466,-0.103000,659.140259
3,反向,10.0,99.996790,10.496383,9.526786,10.000286,0.003632,530.040466,-0.103000,659.140259,430.180969,-0.103000,664.378479
4,正向,10.0,100.000261,10.496717,9.526813,10.000134,0.004007,430.182678,-0.103000,664.380554,529.939575,-0.103000,657.408203
4,反向,10.0,99.997158,10.496514,9.526702,10.000349,0.002967,529.939575,-0.103000,657.408203,430.186249,-0.103000,664.387146
5,正向,10.0,99.999613,10.496736,9.526734,9.999179,0.004126,430.188904,-0.103000,664.386658,529.808289,-0.103000,655.674561
5,反向,10.0,99.998261,10.497198,9.526186,10.000137,0.003467,529.808289,-0.103000,655.674561,430.191040,-0.103000,664.395569
6,正向,10.0,100.000099,10.497320,9.526250,10.000331,0.003285,430.192291,-0.103000,664.395325,529.644897,-0.103000,653.945496
6,反向,10.0,99.997973,10.496783,9.526535,10.000384,0.002426,529.644897,-0.103000,653.945496,430.194794,-0.103000,664.398804
7,正向,10.0,99.999859,10.496554,9.526923,9.999934,0.005103,430.196960,-0.103000,664.401611,529.451843,-0.103000,652.218018
7,反向,10.0,99.996988,10.496977,9.526265,10.000253,0.003013,529.451843,-0.103000,652.218018,430.200684,-0.103000,664.408386
8,正向,10.0,100.001453,10.495854,9.527710,10.000233,0.002041,430.202942,-0.103000,664.410156,529.231201,-0.103000,650.492737
8,反向,10.0,99.997582,10.496099,9.527119,10.000220,0.002549,529.231201,-0.103000,650.492737,430.207031,-0.103000,664.411438
