Ry/deg,方向,设定速度/mm/s,实际距离/mm,运动时间/s,全程平均速度/mm/s,稳态速度/mm/s,目标误差/mm,起点X/mm,起点Y/mm,起点Z/mm,终点X/mm,终点Y/mm,终点Z/mm
0,正向,10.0,99.998352,10.497247,9.526150,10.000389,0.002698,430.218506,-0.103000,664.422668,430.220642,-0.103000,564.424316
0,反向,10.0,100.002503,10.496636,9.527100,10.000574,0.003900,430.220642,-0.103000,564.424316,430.223633,-0.103000,664.426819
1,正向,10.0,99.999512,10.497192,9.526311,10.000866,0.001315,430.224701,-0.103000,664.425659,430.225922,-0.103000,564.426147
1,反向,10.0,100.000550,10.496526,9.527014,9.999609,0.002920,430.225922,-0.103000,564.426147,430.228790,-0.103000,664.426697
2,正向,10.0,99.999573,10.497109,9.526392,10.000611,0.001940,430.230957,-0.103000,664.425049,430.232849,-0.103000,564.425476
2,反向,10.0,100.000671,10.497012,9.526585,10.001022,0.002297,430.232849,-0.103000,564.425476,430.235046,-0.103000,664.426147
3,正向,10.0,100.000244,10.497082,9.526480,10.000806,0.001998,430.235840,-0.103000,664.427246,430.237823,-0.103000,564.427002
3,反向,10.0,100.001282,10.496519,9.527090,10.000400,0.002466,430.237823,-0.103000,564.427002,430.239929,-0.103000,664.428284
4,正向,10.0,99.997498,10.497616,9.525734,10.000351,0.003350,430.241943,-0.103000,664.429871,430.244171,-0.103000,564.432373
4,反向,10.0,99.998596,10.496449,9.526898,10.000473,0.002356,430.244171,-0.103000,564.432373,430.246063,-0.103000,664.430969
5,正向,10.0,99.999816,10.497032,9.526485,10.000956,0.003058,430.248535,-0.103000,664.433105,430.251587,-0.103000,564.433289
5,反向,10.0,99.998718,10.496709,9.526674,10.000477,0.002920,430.251587,-0.103000,564.433289,430.254211,-0.103000,664.432007
6,正向,10.0,99.999145,10.496848,9.526588,10.000673,0.001441,430.255829,-0.103000,664.431274,430.256989,-0.103000,564.432129
6,反向,10.0,100.000427,10.496619,9.526918,10.000256,0.002900,430.256989,-0.103000,564.432129,430.259857,-0.103000,664.432556
7,正向,10.0,100.000061,10.497667,9.525932,10.000243,0.002290,430.260986,-0.103000,664.432373,430.263275,-0.103000,564.432312
7,反向,10.0,100.001343,10.497162,9.526512,10.000801,0.002247,430.263275,-0.103000,564.432312,430.265076,-0.103000,664.433655
8,正向,10.0,99.998291,10.496921,9.526440,10.001009,0.002931,430.267700,-0.103000,664.435059,430.270081,-0.103000,564.436768
8,反向,10.0,99.999572,10.498016,9.525569,10.001133,0.001703,430.270081,-0.103000,564.436768,430.271729,-0.103000,664.436340
9,正向,10.0,99.997864,10.496801,9.526508,9.999888,0.003313,430.272949,-0.103000,664.435791,430.275482,-0.103000,564.437927
9,反向,10.0,100.002564,10.496136,9.527560,10.000623,0.003626,430.275482,-0.103000,564.437927,430.278046,-0.103000,664.440491
10,正向,10.0,99.997558,10.497099,9.526209,10.000174,0.003205,430.281067,-0.103000,664.441650,430.283142,-0.103000,564.444092
10,反向,10.0,99.998901,10.497212,9.526234,10.000772,0.002268,430.283142,-0.103000,564.444092,430.285126,-0.103000,664.442993
11,正向,10.0,99.998291,10.497355,9.526047,9.999525,0.003605,430.286499,-0.103000,664.445557,430.289673,-0.103000,564.447266
11,反向,10.0,99.999694,10.497534,9.526018,10.000496,0.000936,430.289673,-0.103000,564.447266,430.290558,-0.103000,664.446960
12,正向,10.0,99.998169,10.497673,9.525747,10.000326,0.002136,430.293182,-0.103000,664.445679,430.294281,-0.103000,564.447510
12,反向,10.0,99.999267,10.497289,9.526200,10.000661,0.001638,430.294281,-0.103000,564.447510,430.295746,-0.103000,664.446777
13,正向,10.0,99.998597,10.497265,9.526158,10.000599,0.003085,430.298553,-0.103000,664.447327,430.301300,-0.103000,564.448730
